logg,Teff,Z,aLSM,bLSM
4,4500,-2.5,0.093029941,0.281702076
4.5,4500,-2.5,0.06852458,0.275419666
5,4500,-2.5,0.050461663,0.271840229
3.5,4750,-2.5,0.119496538,0.274252494
4,4750,-2.5,0.105096488,0.270168072
4.5,4750,-2.5,0.083662306,0.26583885
5,4750,-2.5,0.060109797,0.2671522
3.5,5000,-2.5,0.125691448,0.260837518
4,5000,-2.5,0.114474926,0.261570454
4.5,5000,-2.5,0.103375746,0.256009204
5,5000,-2.5,0.08385741,0.257408208
3.5,5250,-2.5,0.128833676,0.258042288
4,5250,-2.5,0.118912886,0.259494385
4.5,5250,-2.5,0.107817584,0.257369072
5,5250,-2.5,0.095100919,0.255237012
3.5,5500,-2.5,0.13132508,0.256255452
4,5500,-2.5,0.122690106,0.259139036
4.5,5500,-2.5,0.113578913,0.258977816
5,5500,-2.5,0.102855424,0.255712671
3.5,5750,-2.5,0.131858109,0.255145035
4,5750,-2.5,0.123761824,0.259296468
4.5,5750,-2.5,0.116267852,0.259273157
5,5750,-2.5,0.106530526,0.258032653
3.5,6000,-2.5,0.129067171,0.253727936
4,6000,-2.5,0.123292295,0.258307082
4.5,6000,-2.5,0.117569624,0.259684077
5,6000,-2.5,0.110136798,0.259200901
3.5,6250,-2.5,0.12564841,0.253537393
4,6250,-2.5,0.121657809,0.257668834
4.5,6250,-2.5,0.117448496,0.259182613
5,6250,-2.5,0.111484833,0.259017708
3.5,6500,-2.5,0.11578193,0.254264894
4,6500,-2.5,0.115195546,0.256998707
4.5,6500,-2.5,0.113734731,0.258127946
5,6500,-2.5,0.110720611,0.257993595
3.5,6750,-2.5,0.107160222,0.255278886
4,6750,-2.5,0.108829281,0.257006714
4.5,6750,-2.5,0.110132478,0.257349474
5,6750,-2.5,0.109217044,0.257067553
3.5,7000,-2.5,0.093446392,0.256851315
4,7000,-2.5,0.098321327,0.256887708
4.5,7000,-2.5,0.101869934,0.25665133
5,7000,-2.5,0.10364954,0.255967169
3.5,7250,-2.5,0.086357178,0.256541509
4,7250,-2.5,0.090816622,0.256426579
4.5,7250,-2.5,0.095612102,0.256008657
5,7250,-2.5,0.098843545,0.255174674
3.5,7500,-2.5,0.087413005,0.241595212
4,7500,-2.5,0.0817061,0.253379466
4.5,7500,-2.5,0.085739421,0.254095478
5,7500,-2.5,0.08407189,0.254034485
3.5,7750,-2.5,0.110249385,0.216488869
4,7750,-2.5,0.075752653,0.246814542
4.5,7750,-2.5,0.080304542,0.251844566
5,7750,-2.5,0.084360874,0.252135232
3.5,8000,-2.5,0.130877037,0.202408771
4,8000,-2.5,0.094305983,0.226687721
4.5,8000,-2.5,0.07212214,0.243919617
5,8000,-2.5,0.076646338,0.248429901
3.5,8250,-2.5,0.136906523,0.186556279
4,8250,-2.5,0.114208334,0.209802262
4.5,8250,-2.5,0.075104634,0.235377426
5,8250,-2.5,0.12473453,0.197798959
3.5,8500,-2.5,0.127015675,0.183458668
4,8500,-2.5,0.13060852,0.18103307
4.5,8500,-2.5,0.105313986,0.209334842
5,8500,-2.5,0.072078934,0.233684948
3.5,8750,-2.5,0.121552852,0.181862571
4,8750,-2.5,0.124500808,0.177980319
4.5,8750,-2.5,0.123430366,0.183913749
5,8750,-2.5,0.088981206,0.219459186
3.5,9000,-2.5,0.115435475,0.178390793
4,9000,-2.5,0.117533447,0.174676777
4.5,9000,-2.5,0.11991045,0.172386177
5,9000,-2.5,0.114210144,0.184506085
3.5,9250,-2.5,0.115435475,0.178390793
4,9250,-2.5,0.117533447,0.174676777
4.5,9250,-2.5,0.11991045,0.172386177
5,9250,-2.5,0.114210144,0.184506085
3.5,9500,-2.5,0.115435475,0.178390793
4,9500,-2.5,0.117533447,0.174676777
4.5,9500,-2.5,0.11991045,0.172386177
5,9500,-2.5,0.114210144,0.184506085
3.5,9750,-2.5,0.115435475,0.178390793
4,9750,-2.5,0.117533447,0.174676777
4.5,9750,-2.5,0.11991045,0.172386177
5,9750,-2.5,0.114210144,0.184506085
3.5,10000,-2.5,0.115435475,0.178390793
4,10000,-2.5,0.117533447,0.174676777
4.5,10000,-2.5,0.11991045,0.172386177
5,10000,-2.5,0.114210144,0.184506085
3.5,3500,-2,0.053696781,0.29187342
4,3500,-2,0.052383276,0.29793839
4.5,3500,-2,0.054464446,0.300087834
5,3500,-2,0.058197186,0.313110678
3.5,3750,-2,0.072207656,0.270804136
4,3750,-2,0.056481456,0.275541931
4.5,3750,-2,0.057290905,0.275512156
5,3750,-2,0.049871942,0.293151952
3.5,4000,-2,0.147264176,0.258503002
4,4000,-2,0.09842596,0.258505298
4.5,4000,-2,0.070579745,0.262734964
5,4000,-2,0.057493738,0.267324958
3.5,4250,-2,0.173008532,0.279315619
4,4250,-2,0.129048039,0.272435236
4.5,4250,-2,0.090008039,0.273445892
5,4250,-2,0.068602588,0.26645026
3.5,4500,-2,0.154781329,0.301222624
4,4500,-2,0.137244296,0.297450262
4.5,4500,-2,0.108867643,0.293301974
5,4500,-2,0.083487558,0.2832519
3.5,4750,-2,0.140281691,0.292855357
4,4750,-2,0.128810899,0.295624243
4.5,4750,-2,0.111089978,0.292784066
5,4750,-2,0.090584925,0.284491823
3.5,5000,-2,0.198653344,0.247314185
4,5000,-2,0.161623658,0.274704858
4.5,5000,-2,0.110603611,0.278774817
5,5000,-2,0.095577255,0.275107715
3.5,5250,-2,0.133520996,0.260566179
4,5250,-2,0.124226614,0.264944068
4.5,5250,-2,0.115283521,0.267745041
5,5250,-2,0.100233805,0.268213185
3.5,5500,-2,0.134116514,0.255017912
4,5500,-2,0.126042893,0.258530421
4.5,5500,-2,0.117280979,0.260172634
