,logg,Teff,Z,aLSM,bLSM
279,5.0,9500,-4.0,0.09184143141249407,0.14265530603230941
280,3.5,9750,-4.0,0.08409525975003375,0.14058855748688037
281,4.0,9750,-4.0,0.0860354002639777,0.13655581402197253
282,4.5,9750,-4.0,0.08935313787220454,0.1346788974632437
283,5.0,9750,-4.0,0.09184143141249407,0.14265530603230941
284,3.5,10000,-4.0,0.08409525975003375,0.14058855748688037
285,4.0,10000,-4.0,0.0860354002639777,0.13655581402197253
286,4.5,10000,-4.0,0.08935313787220454,0.1346788974632437
287,5.0,10000,-4.0,0.09184143141249407,0.14265530603230941
288,3.5,3500,-3.5,0.012377529380838543,0.25547966253177923
289,3.5,3750,-3.5,0.011670766034574141,0.22963705265053116
290,4.0,3750,-3.5,0.013966288921624824,0.23004611601488167
291,3.5,4000,-3.5,0.014587135898389036,0.1975192567195782
292,4.0,4000,-3.5,0.011891982568505655,0.1957159452767715
293,4.5,4000,-3.5,0.012140662346501574,0.200456457070896
294,3.5,4250,-3.5,0.03274283344210597,0.20116606709597168
295,4.0,4250,-3.5,0.021882850388520336,0.18562636666919985
296,4.5,4250,-3.5,0.015092616663958553,0.1815047896873256
297,3.5,4500,-3.5,0.04779600318773121,0.24555469216840434
298,4.0,4500,-3.5,0.04223428517397102,0.20979939676809645
299,4.5,4500,-3.5,0.03193913805144295,0.18769590991204987
300,5.0,4500,-3.5,0.023268115103153252,0.17517617332494112
301,3.5,4750,-3.5,0.040975180538056315,0.28039844961772736
302,4.0,4750,-3.5,0.057492837216181196,0.22845311466411264
303,4.5,4750,-3.5,0.04569513785153076,0.20715101987691983
304,5.0,4750,-3.5,0.03376674718308102,0.18771471613630025
305,3.5,5000,-3.5,0.03732637766524423,0.3180785443530315
306,4.0,5000,-3.5,0.03987995689668499,0.28347161385700753
307,4.5,5000,-3.5,0.04463131549362057,0.24759640967927662
308,5.0,5000,-3.5,0.0431604755591053,0.21980173034501085
309,3.5,5250,-3.5,0.046776279510234775,0.3277174647171506
310,4.0,5250,-3.5,0.0391631689859279,0.30481840829184914
311,4.5,5250,-3.5,0.04129011244237346,0.27216129168034064
312,5.0,5250,-3.5,0.04283777346959513,0.24166574990320472
313,3.5,5500,-3.5,0.09873276604888065,0.22523841540285142
314,4.0,5500,-3.5,0.08834163807859906,0.22901890298301525
315,4.5,5500,-3.5,0.07762354430465837,0.23001172768036404
316,5.0,5500,-3.5,0.06624805864981537,0.22836424402439318
317,3.5,5750,-3.5,0.09505762789376884,0.2253866197158493
318,4.0,5750,-3.5,0.08830625037394992,0.22815175608584023
319,4.5,5750,-3.5,0.08059640414089042,0.22925975743365457
320,5.0,5750,-3.5,0.07147127946267362,0.22848835027646927
321,3.5,6000,-3.5,0.08451567189842904,0.22759649169176926
322,4.0,6000,-3.5,0.08151062458228198,0.2303705785659206
323,4.5,6000,-3.5,0.078670301290787,0.230527374330039
324,5.0,6000,-3.5,0.07403125882453529,0.22915671739505625
325,3.5,6250,-3.5,0.07718710464832622,0.22625809371906136
326,4.0,6250,-3.5,0.0754803679759782,0.23081577168982115
327,4.5,6250,-3.5,0.07354658981720254,0.23406031285492554
328,5.0,6250,-3.5,0.07262907677050892,0.23085060115757536
329,3.5,6500,-3.5,0.06406102440032818,0.22640163208651048
330,4.0,6500,-3.5,0.06442138352950028,0.23205907304449097
331,4.5,6500,-3.5,0.06561707277480705,0.23463073847971586
332,5.0,6500,-3.5,0.06714823759055787,0.23336765468047138
333,3.5,6750,-3.5,0.055580859514641125,0.22529502910682483
334,4.0,6750,-3.5,0.05724031260914972,0.23115985364772032
335,4.5,6750,-3.5,0.05955379977663434,0.2348155881585217
336,5.0,6750,-3.5,0.06219750205775846,0.23549603130036154
337,3.5,7000,-3.5,0.04389290471845697,0.22422038433297942
338,4.0,7000,-3.5,0.04727573916124063,0.22901852089096686
339,4.5,7000,-3.5,0.05120060872242228,0.2329694163426382
340,5.0,7000,-3.5,0.055285035915034246,0.23470193478429965
341,3.5,7250,-3.5,0.03899501666801095,0.2236456757584188
342,4.0,7250,-3.5,0.04227421423046629,0.2266503371487767
343,4.5,7250,-3.5,0.046456743997464786,0.2305979627095685
344,5.0,7250,-3.5,0.050872889533934804,0.2333770956973474
345,3.5,7500,-3.5,0.040481924426686744,0.20929744270054884
346,4.0,7500,-3.5,0.038673550377691525,0.22143052710226488
347,4.5,7500,-3.5,0.04137110413555861,0.22542976012103993
348,5.0,7500,-3.5,0.045379424239719995,0.22929336605669878
349,3.5,7750,-3.5,0.056424489193548054,0.19444624304109184
350,4.0,7750,-3.5,0.037003644776039395,0.21206467685546143
351,4.5,7750,-3.5,0.03974144292606718,0.22150765824878516
352,5.0,7750,-3.5,0.043000812445970815,0.22554421233108646
353,3.5,8000,-3.5,0.08323903206762816,0.17573303848598593
354,4.0,8000,-3.5,0.04964310402489629,0.2005269247681504
355,4.5,8000,-3.5,0.039310339409014364,0.21048088901400955
356,5.0,8000,-3.5,0.04180822199205011,0.2184925569437695
357,3.5,8250,-3.5,0.0921846262337412,0.15606127181190857
358,4.0,8250,-3.5,0.07269951917784959,0.1806065084471262
359,4.5,8250,-3.5,0.04265637812053736,0.20336478091128504
360,5.0,8250,-3.5,0.043324298552929345,0.21225294267304284
361,3.5,8500,-3.5,0.08849399287204535,0.14859091186205473
362,4.0,8500,-3.5,0.09236481774430264,0.1465049011872834
363,4.5,8500,-3.5,0.07524987346950901,0.17315245707333132
364,5.0,8500,-3.5,0.04552770368188581,0.1989162640109665
365,3.5,8750,-3.5,0.08661700537997298,0.14493579104178037
366,4.0,8750,-3.5,0.08920044818399701,0.14158459416655744
367,4.5,8750,-3.5,0.09209468096177977,0.14573958091045144
368,5.0,8750,-3.5,0.06832085493957414,0.1800410938994251
369,3.5,9000,-3.5,0.08405364087005068,0.1403829984122962
370,4.0,9000,-3.5,0.08599910206172161,0.1363895626501359
371,4.5,9000,-3.5,0.08931188220758633,0.1345299949588766
372,5.0,9000,-3.5,0.09192153968852575,0.14230220136858104
373,3.5,9250,-3.5,0.08405364087005068,0.1403829984122962
374,4.0,9250,-3.5,0.08599910206172161,0.1363895626501359
375,4.5,9250,-3.5,0.08931188220758633,0.1345299949588766
376,5.0,9250,-3.5,0.09192153968852575,0.14230220136858104
377,3.5,9500,-3.5,0.08405364087005068,0.1403829984122962
378,4.0,9500,-3.5,0.08599910206172161,0.1363895626501359
379,4.5,9500,-3.5,0.08931188220758633,0.1345299949588766
380,5.0,9500,-3.5,0.09192153968852575,0.14230220136858104
381,3.5,9750,-3.5,0.08405364087005068,0.1403829984122962
382,4.0,9750,-3.5,0.08599910206172161,0.1363895626501359
383,4.5,9750,-3.5,0.08931188220758633,0.1345299949588766
384,5.0,9750,-3.5,0.09192153968852575,0.14230220136858104
385,3.5,10000,-3.5,0.08405364087005068,0.1403829984122962
386,4.0,10000,-3.5,0.08599910206172161,0.1363895626501359
387,4.5,10000,-3.5,0.08931188220758633,0.1345299949588766
388,5.0,10000,-3.5,0.09192153968852575,0.14230220136858104
389,3.5,3500,-3.0,0.014448818629445673,0.2722338538454914
390,4.0,3500,-3.0,0.0156450213500207,0.2669225611525228
391,3.5,3750,-3.0,0.016705796718631816,0.24288620513543302
392,4.0,3750,-3.0,0.019012291843883533,0.23767668631891237
393,4.5,3750,-3.0,0.02133923549825985,0.23500651014511456
394,5.0,3750,-3.0,0.022269213971911183,0.24073619705473745
395,3.5,4000,-3.0,0.01750317838333304,0.22644976529558858
396,4.0,4000,-3.0,0.015513184142964778,0.21581172116040104
397,4.5,4000,-3.0,0.01559259488707038,0.21327945604865195
398,5.0,4000,-3.0,0.0178383823603385,0.21572698547587005
399,3.5,4250,-3.0,0.036871668828567405,0.22401491603565737
400,4.0,4250,-3.0,0.021264878848304525,0.20848083816369922
401,4.5,4250,-3.0,0.017492960978039873,0.2015165899808491
402,5.0,4250,-3.0,0.014658396655157323,0.20262701937389985
